"identifiant";"Opérateur";"Millésime des données";"Énergie concernée";"Code géographique du territoire - Code de la zone";"Code géographique du territoire - Libellé de la zone";"Puissance totale installée sur le réseau (en MW)";"Puissance installée sur le réseau de la filière gaz naturel (en MWh)";"Puissance installée sur le réseau de la filière charbon (en MWh)";"Puissance installée sur le réseau de la filière fioul domestique (en MWh)";"Puissance installée sur le réseau de la filière fioul lourd (en MWh)";"Puissance installée sur le réseau de la filière gpl (en MWh)";"Puissance installée sur le réseau de la filière bois-énergie et résidus agricoles (en MWh)";"Puissance installée sur le réseau de la filière déchets urbains incinérés en interne (en MWh)";"Puissance installée sur le réseau de la filière chaleur issue d'unités de valorisation énergétique externes (en MWh)";"Puissance installée sur le réseau de la filière biogaz (en MWh)";"Puissance installée sur le réseau de la filière geothermie (en MWh)";"Puissance installée sur le réseau de la filière Pompes à chaleur (en MWh)";"Puissance installée sur le réseau de la filière solaire thermique (en MWh)";"Puissance installée sur le réseau de la filière Autres énergies renouvelables (en MWh)";"Puissance installée sur le réseau de la filière chaleur issue de procédés industriels (en MWh)";"Puissance installée sur le réseau de la filière autre chaleur recuperee (en MWh)";"Puissance installée sur le réseau de la filière chaudieres electriques (en MWh)";"Puissance installée sur le réseau de la filière autres (en MWh)";"Production totale thermique du réseau (en MW)";"Production thermique sur le réseau de la filière gaz naturel (en MWh)";"Production thermique sur le réseau de la filière charbon (en MWh)";"Production thermique sur le réseau de la filière fioul domestique (en MWh)";"Production thermique sur le réseau de la filière fioul lourd (en MWh)";"Production thermique sur le réseau de la filière gpl (en MWh)";"Production thermique sur le réseau de la filière bois-énergie et résidus agricoles (en MWh)";"Production thermique sur le réseau de la filière déchets urbains incinérés en interne (en MWh)";"Production thermique sur le réseau de la filière chaleur issue d'unités de valorisation énergétique externes (en MWh)";"Production thermique sur le réseau de la filière biogaz (en MWh)";"Production thermique sur le réseau de la filière geothermie (en MWh)";"Production thermique sur le réseau de la filière Pompes à chaleur (en MWh)";"Production thermique sur le réseau de la filière solaire thermique (en MWh)";"Production thermique sur le réseau de la filière Autres énergies renouvelables (en MWh)";"Production thermique sur le réseau de la filière chaleur issue de procédés industriels (en MWh)";"Production thermique sur le réseau de la filière autre chaleur recuperee (en MWh)";"Production thermique sur le réseau de la filière chaudieres electriques (en MWh)";"Production thermique sur le réseau de la filière autres (en MWh)";"Niveau de rejet de CO2 des réseaux (en kg/kWh)";"Pourcentage de chaleur produite par cogénération (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière gaz naturel (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière charbon (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière fioul domestique (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière fioul lourd (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière gpl (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière bois-énergie et résidus agricoles (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière déchets urbains incinérés en interne (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière biogaz (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière autres (en pourcent)";"Nombre de points de livraison";"Consommation totale (en MWh)";"Consommation dans le secteur résidentiel (en MWh)";"Consommation dans le secteur tertiaire (en MWh)";"Consommation dans le secteur industriel (en MWh)";"Consommation dans le secteur agricole (en MWh)";"Consommation non affectée dans l'un des quatres secteur (en MWh)"
"ID";"OPERATEUR";"ANNEE";"FILIERE";"COMMUNE_CODE";"COMMUNE_LIBELLE";"PUISSANCE";"PUISSANCE_GAZ_NATUREL";"PUISSANCE_CHARBON";"PUISSANCE_FIOUL_DOMESTIQUE";"PUISSANCE_FIOUL_LOURD";"PUISSANCE_GPL";"PUISSANCE_BIOMASSE_SOLIDE";"PUISSANCE_DECHETS_INTERNES";"PUISSANCE_UIOM";"PUISSANCE_BIOGAZ";"PUISSANCE_GEOTHERMIE";"PUISSANCE_PAC";"PUISSANCE_SOLAIRE_THERMIQUE";"PUISSANCE_AUTRES_ENR";"PUISSANCE_CHALEUR_INDUSTRIEL";"PUISSANCE_AUTRE_CHALEUR_RECUPEREE";"PUISSANCE_CHAUDIERES_ELECTRIQUES";"PUISSANCE_AUTRES";"PRODUCTION_TOTALE";"PRODUCTION_GAZ_NATUREL";"PRODUCTION_CHARBON";"PRODUCTION_FIOUL_DOMESTIQUE";"PRODUCTION_FIOUL_LOURD";"PRODUCTION_GPL";"PRODUCTION_BIOMASSE_SOLIDE";"PRODUCTION_DECHETS_INTERNES";"PRODUCTION_UIOM";"PRODUCTION_BIOGAZ";"PRODUCTION_GEOTHERMIE";"PRODUCTION_PAC";"PRODUCTION_SOLAIRE_THERMIQUE";"PRODUCTION_AUTRES_ENR";"PRODUCTION_CHALEUR_INDUSTRIEL";"PRODUCTION_AUTRE_CHALEUR_RECUPEREE";"PRODUCTION_CHAUDIERES_ELECTRIQUES";"PRODUCTION_AUTRES";"CONTENU_EN_CO2";"PCTCOG";"PCTCOG_GAZ_NATUREL";"PCTCOG_CHARBON";"PCTCOG_FIOUL_DOMESTIQUE";"PCTCOG_FIOUL_LOURD";"PCTCOG_GPL";"PCTCOG_BIOMASSE_SOLIDE";"PCTCOG_DECHETS_INTERNES";"PCTCOG_BIOGAZ";"PCTCOG_AUTRES";"PDL";"CONSOTOT";"CONSOR";"CONSOT";"CONSOI";"CONSOA";"CONSONA"
"0101C";"Quartier de La Reyssouze";"2018";"C";"01053";"Bourg-en-Bresse";39;34;;;;;5;;;;;;;;;;;;35386;25580;;;;;9806;;;;;;;;;;;;0.158955304;34.714;48.22;;;;;;;;;55;31837;25470;6367;;;
"0102C";"Réseau de chaleur d'Hauteville Lompnes";"2018";"C";"01185";"Hauteville-Lompnes";5.4;;;;;;5.4;;;;;;;;;;;;4721.223967;;;;;;4721.223967;;;;;;;;;;;;;;;;;;;;;;;20;4721;1188;3533;;;
"0103C";"Oyonnax BioChaleur";"2018";"C";"01283";"Oyonnax";38.71;27.71;;;;;11;;;;;;;;;;;;54155.08;15158.08;;;;;38997;;;;;;;;;;;;0.057744686;15.773;56.353;;;;;;;;;86;43045;32284;10761;;;
"0105C";"Réseau de saint-denis-les-bourg";"2018";"C";"01344";"Saint-Denis-lès-Bourg";1.65;0.75;;;;;0.9;;;;;;;;;;;;1698;280;;;;;1418;;;;;;;;;;;;0.04489682;;;;;;;;;;;13;"secret";"secret";270;;;
"0106C";"Belena";"2018";"C";"01034";"Belley";13.5;9;;;;;4.5;;;;;;;;;;;;12805;1386;;;;;11419;;;;;;;;;;;;0.029192383;;;;;;;;;;;28;10700;5885;4387;428;;
"0107C";"xavier chirol";"2018";"C";"01426";"Val-Revermont";;;;;;;;;;;;;;;;;;;559.86;;;;;;559.86;;;;;;;;;;;;;;;;;;;;;;;19;563;;;;;563
"0108C";"Bourg-en-Bresse - La Vinaigrerie";"2018";"C";"01053";"Bourg-en-Bresse";9.1;5.6;;;;;3.5;;;;;;;;;;;;11371.5371;1774.8315;;;;;9596.7056;;;;;;;;;;;;0.038005751;;;;;;;;;;;21;"secret";"secret";9148;;;
"0201C";"Zup du Quartier Europe";"2018";"C";"02691";"Saint-Quentin";30.5;22.5;;;;;8;;;;;;;;;;;;55363;24721;;;;;30642;;;;;;;;;;;;0.084892697;27.482;61.547;;;;;;;;;49;51252;33826;17426;;;
"0202C";"Zup de Presles";"2018";"C";"02722";"Soissons";33.3;20;;8;;;5.3;;;;;;;;;;;;33667.89;15572;;0.89;;;18095;;;;;;;;;;;;0.107371356;20.277;43.842;;;;;;;;;55;28987;23190;5797;;;
"0203C";"Réseau de Laon";"2018";"C";"02046";"Barenton-Bugny";2.1;1.4;;;;;0.7;;;;;;;;;;;;1700;270;;;;;1430;;;;;;;;;;;;0.040055921;;;;;;;;;;;3;1520;;1520;;;
"0204C";"Réseau d'Urcel";"2018";"C";"02755";"Urcel";0.4;;;;;0.2;0.2;;;;;;;;;;;;399.69;;;;;59.13;340.56;;;;;;;;;;;;0.037683292;;;;;;;;;;;5;"secret";"secret";132;;;
"0205C";"Réseau de Château Thierry";"2018";"C";"02168";"Château-Thierry";24;16;;;;;8;;;;;;;;;;;;30070.21;4327.83;;;;;25742.38;;;;;;;;;;;;0.037113945;;;;;;;;;;;32;26561;12749;13812;;;
"0301C";"SDC Moulins CHAMPINS";"2018";"C";"03190";"Moulins";34.2;25;;0.2;;;9;;;;;;;;;;;;41266.01;13263;;347.99;;;27655.02;;;;;;;;;;;;0.060439367;18.936;58.916;;;;;;;;;64;39310;;;;;39310
"0302C";"Quartier Fontbouillant et Bien-Assis";"2018";"C";"03185";"Montluçon";35.9;28.8;;;;;7.1;;;;;;;;;;;;37528;21372;;;;;16156;;;;;;;;;;;;0.154047436;17.384;3.526;;;;;;;;;39;30093;22570;7523;;;
"0303C";"Réseau de Cerilly";"2018";"C";"03048";"Cérilly";0.4;;;;;;0.4;;;;;;;;;;;;833.34;;;;;;833.34;;;;;;;;;;;;;;;;;;;;;;;4;930;;;;;930
"0304C";"Réseau de Meaulne";"2018";"C";"03168";"Meaulne-Vitray";0.5;;;;;;0.5;;;;;;;;;;;;1896.3;;;;;;1896.3;;;;;;;;;;;;;;;;;;;;;;;11;"secret";"secret";213;;;
"0305C";"Réseau du Mayet-de-Montagne";"2018";"C";"03165";"Le Mayet-de-Montagne";2.42;;;1.6;;;0.82;;;;;;;;;;;;2341;;;38;;;2303;;;;;;;;;;;;0.006282548;;;;;;;;;;;19;1805;;;;;1805
"0306C";"Réseau - Bellenaves";"2018";"C";"03022";"Bellenaves";1.2;;;;;;1.2;;;;;;;;;;;;774;;;;;;774;;;;;;;;;;;;;;;;;;;;;;;7;"secret";"secret";441;;;
"0307C";"Réseau de Commentry";"2018";"C";"03082";"Commentry";7.56;4.96;;;;;2.6;;;;;;;;;;;;8140;1098;;;;;7042;;;;;;;;;;;;0.039148868;;;;;;;;;;;31;7154;4221;2933;;;
"0308C";"Réseau de chaleur d'Ebreuil";"2018";"C";"03107";"Ébreuil";0.86;;;;;0.46;0.4;;;;;;;;;;;;2028.22;;;;;119.88;1908.34;;;;;;;;;;;;0.015410463;;;;;;;;;;;6;"secret";"secret";1720;;;
"0309C";"SDC Moulins Ville";"2018";"C";"03190";"Moulins";;;;;;;;;;;;;;;;;;;6035;;;;;;;;;;;;;;;6035;;;0.075144536;;;;;;;;;;;34;4854;;;;;4854
"0401C";"RCU Manosque Zac Chanteprunier";"2018";"C";"04112";"Manosque";13.9;9.4;;;;;4.5;;;;;;;;;;;;8365;1928;;;;;6437;;;;;;;;;;;;0.053958909;;;;;;;;;;;18;"secret";"secret";6516;;;
"0402C";"Réseau de la chaufferie La Tomie";"2018";"C";"04088";"Forcalquier";0.16;0.06;;;;;0.1;;;;;;;;;;;;109.9;18.9;;;;;91;;;;;;;;;;;;0.035286885;;;;;;;;;;;3;110;;110;;;
"0403C";"complexe sportif forcalquier";"2018";"C";"04088";"Forcalquier";0.35;0.2;;;;;0.15;;;;;;;;;;;;428.67;119.07;;;;;309.6;;;;;;;;;;;;0.064245279;;;;;;;;;;;4;422;;422;;;
"0404C";"Réseau communal d'Allos";"2018";"C";"04006";"Allos";0.16;;;;;;0.16;;;;;;;;;;;;436.46;;;;;;436.46;;;;;;;;;;;;;;;;;;;;;;;8;"secret";"secret";278;;;
"0405C";"Réseau communal de Castellane";"2018";"C";"04039";"Castellane";50;;;;;;50;;;;;;;;;;;;401.62;;;;;;401.62;;;;;;;;;;;;;;;;;;;;;;;11;;;;;;
"0406C";"Réseau communal de Barcelonnette";"2018";"C";"04019";"Barcelonnette";3;;;;;2;1;;;;;;;;;;;;3329;;;;;1828;1501;;;;;;;;;;;;0.175243436;;;;;;;;;;;140;"secret";"secret";2319;;;
"0501C";"Réseau de chaleur bois Delaroche";"2018";"C";"05046";"Embrun";0.95;;;0.5;;;0.45;;;;;;;;;;;;1502;;;48;;;1454;;;;;;;;;;;;0.010879934;;;;;;;;;;;18;"secret";"secret";815;;;
"0502C";"Quartier gare";"2018";"C";"05046";"Embrun";5.2;;;2.5;;;2.7;;;;;;;;;;;;5762;;;91;;;5671;;;;;;;;;;;;0.005875424;;;;;;;;;;;29;"secret";"secret";2955;;;
"0504C";"Réseau de l'Association La Chrysalide";"2018";"C";"05170";"Tallard";0.5;0.25;;;;;0.25;;;;;;;;;;;;821.55;315.55;;;;;506;;;;;;;;;;;;0.081549;;;;;;;;;;;4;790;;790;;;
"0505C";"Réseau de Veynes";"2018";"C";"05179";"Veynes";2;;;;;1;1;;;;;;;;;;;;1064.34;;;;;228.42;835.92;;;;;;;;;;;;0.063727074;;;;;;;;;;;2;"secret";"secret";641;;;
"0601C";"SONITHERM - Réseau de l'Ariane";"2018";"C";"06088";"Nice";79;;;;19;;;60;;;;;;;;;;;85326.912;;;;1572.63;;;83754.282;;;;;;;;;;;0.005016945;;;;;;;;;;;90;98970;98970;;;;
"0602C";"Saint-Augustin (HLM)";"2018";"C";"06088";"Nice";24;24;;;;;;;;;;;;;;;;;24933.82979;24933.82979;;;;;;;;;;;;;;;;;0.192133115;;;;;;;;;;;52;23943;23943;;;;
"0603C";"Ranguin";"2018";"C";"06029";"Cannes";6.3;4.1;;;;;2.2;;;;;;;;;;;;8595;3055;;;;;5540;;;;;;;;;;;;0.108091019;;;;;;;;;;;7;"secret";"secret";;;;
"0604C";"Réseau communal de Puget Théniers";"2018";"C";"06099";"Puget-Théniers";1.95;;;1.1;;;0.85;;;;;;;;;;;;1406.167715;;;157.9839;;;1248.183815;;;;;;;;;;;;0.022108483;;;;;;;;;;;2;"secret";"secret";1886;;;
"0605C";"réseau chaleur et froid chaine de vie 06";"2018";"C";"06075";"Levens";1.08;;;0.54;;;0.54;;;;;;;;;;;;1631.1738;;;439.9448;;;1191.229;;;;;;;;;;;;0.096424809;;;;;;;;;;;2;1224;;1224;;;
"0701C";"Réseau d'Aubenas";"2018";"C";"07019";"Aubenas";22;10;;;;;8.6;;;;;;;;;3.4;;;27677;2191;;;;;23036;;;;;;;;;2450;;;0.049703065;;;;;;;;;;;84;23847;7870;15262;715;;
"0702C";"réseau du cheylard";"2018";"C";"07064";"Le Cheylard";3.5;;;2;;;1.5;;;;;;;;;;;;4531;;;318;;;4213;;;;;;;;;;;;0.025821918;;;;;;;;;;;17;3942;394;3548;;;
"0703C";"Chaufferie bois";"2018";"C";"07329";"Valgorge";0.2;;;;;;0.2;;;;;;;;;;;;555.1221818;;;;;;555.1221818;;;;;;;;;;;;;;;;;;;;;;;6;"secret";"secret";467;;;
"0704C";"Réseau de chaleur de Banne";"2018";"C";"07024";"Banne";1;;;;;;1;;;;;;;;;;;;208.12;;;;;;208.12;;;;;;;;;;;;;;;;;;;;;;;8;22;;;;;22
"0705C";"Réseau de chaleur communal de Burzet";"2018";"C";"07045";"Burzet";0.35;;;;;;0.35;;;;;;;;;;;;2.58;;;;;;2.58;;;;;;;;;;;;;;;;;;;;;;;31;"secret";"secret";;;;
"0706C";"Réseau de la chaufferie bois de Chalencon";"2018";"C";"07048";"Chalencon";0.08;;;;;;0.08;;;;;;;;;;;;61.74096323;;;;;;61.74096323;;;;;;;;;;;;;;;;;;;;;;;2;61;;;;;61
"0707C";"Réseau de la chaufferie bois";"2018";"C";"07161";"Montpezat-sous-Bauzon";0.56;;;;;;0.56;;;;;;;;;;;;4224;;;;;;4224;;;;;;;;;;;;;;;;;;;;;;;6;865;;865;;;
"0801C";"chaufferie communale";"2018";"C";"08151";"Écordal";0.11;;;;;;0.11;;;;;;;;;;;;1.72;;;;;;1.72;;;;;;;;;;;;;;;;;;;;;;;6;2;;;;;2
"0802C";"La Citadelle";"2018";"C";"08105";"Charleville-Mézières";10.9;9.6;;;;;;;;;;;;;;1.3;;;10879.07;5546.07;;;;;;;;;;;;;;5333;;;0.243645213;;;;;;;;;;;18;9672;7641;2031;;;
"0803C";"Zup de Sedan";"2018";"C";"08409";"Sedan";28.6;22;;0.1;;;6.5;;;;;;;;;;;;59936.77;29371.25;;58.74;;;30506.78;;;;;;;;;;;;0.121129981;28.969;59.116;;;;;;;;;166;47153;23812;19427;;;3914
"0804C";"Réseau de chaleur bois de Machault";"2018";"C";"08264";"Machault";0.56;;;0.24;;;0.32;;;;;;;;;;;;413.1923077;;;71.24005305;;;341.9522546;;;;;;;;;;;;0.066528901;;;;;;;;;;;13;"secret";"secret";268;;;
"0806C";"Ronde couture";"2018";"C";"08105";"Charleville-Mézières";23.4;13;;;;;6.2;;;;;;;;;4.2;;;44107.93;5050.35;;;;;24555.58;;;;;;;;;14502;;;0.1124732;;;;;;;;;;;68;36660;27862;;;;8798
"0808C";"Réseau de chaleur de Rocroi";"2018";"C";"08367";"Rocroi";2.85;2;;;;;0.85;;;;;;;;;;;;3746.0037;598.4037;;;;;3147.6;;;;;;;;;;;;0.058336678;;;;;;;;;;;30;2336;397;1939;;;
"0809C";"Réseau de chaleur bois de Lalobbe";"2018";"C";"08243";"Lalobbe";0.05;;;;;;0.05;;;;;;;;;;;;64.4398;;;;;;64.4398;;;;;;;;;;;;;;;;;;;;;;;3;64;;;;;64
"0810C";"Réseau de chaleur bois de Poix Terron";"2018";"C";"08341";"Poix-Terron";0.14;;;;;;0.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;127;;127;;;
"0811C";"Réseau de chaleur bois de Villers le Tourneur";"2018";"C";"08478";"Villers-le-Tilleul";0.1;;;;;;0.1;;;;;;;;;;;;141.04;;;;;;141.04;;;;;;;;;;;;;;;;;;;;;;;9;"secret";"secret";22;;;
"0812C";"Réseau de chaleur bois de St Loup Terrier";"2018";"C";"08387";"Saint-Loup-Terrier";0.07;;;;;;0.07;;;;;;;;;;;;42.5;;;;;;42.5;;;;;;;;;;;;;;;;;;;;;;;1;"secret";"secret";;;;43
"0813C";"Réseau de chaleur de Montcornet";"2018";"C";"08297";"Montcornet";1.01;;;;;;1.01;;;;;;;;;;;;1270.22;;;;;;1270.22;;;;;;;;;;;;;;;;;;;;;;;1;"secret";"secret";295;;;
"0814C";"Réseau de chaleur de Thin le Moutier";"2018";"C";"08449";"Thin-le-Moutier";0.24;;;;;;0.24;;;;;;;;;;;;157.509;;;;;;157.509;;;;;;;;;;;;;;;;;;;;;;;8;"secret";"secret";79;;;2
"0815C";"Réseau SARL Jurion";"2018";"C";"08469";"Vendresse";0.07;;;;;;0.07;;;;;;;;;;;;0.033341832;;;;;;0.033341832;;;;;;;;;;;;;;;;;;;;;;;4;"secret";"secret";;;;
"1001C";"Zup de la Chapelle Saint-Luc";"2018";"C";"10265";"Les Noës-près-Troyes";40.2;40;;0.2;;;;;;;;;;;;;;;40550.03;40348;;202.03;;;;;;;;;;;;;;;0.238544107;41.302;41.59;;;;;;;;;18;36151;31813;4338;;;
"1002C";"Les Chartreux";"2018";"C";"10387";"Troyes";37;28.8;;0.4;;;7.8;;;;;;;;;;;;50238.41;16707;;328.41;;;33203;;;;;;;;;;;;0.092487966;;;;;;;;;;;46;43418;16195;27136;87;;
"1003C";"Biomasse de Piney";"2018";"C";"10287";"Piney";1.4;;;;;0.8;0.6;;;;;;;;;;;;1136.81;;;;;266.49;870.32;;;;;;;;;;;;0.078640878;;;;;;;;;;;4;"secret";"secret";520;;;
"1101C";"Zac Saint Jean et & Saint Pierre";"2018";"C";"11262";"Narbonne";8.9;6.4;;;;;2.5;;;;;;;;;;;;11250;4238;;;;;7012;;;;;;;;;;;;0.101004918;;;;;;;;;;;27;9557;6785;2772;;;
"1102C";"CEF - MCO";"2018";"C";"11069";"Carcassonne";4;;;;;;4;;;;;;;;;;;;4963;;;;;;4963;;;;;;;;;;;;;;;;;;;;;;;1;"secret";"secret";4607;;;
"1201C";"Réseau de Decazeville";"2018";"C";"12089";"Decazeville";11.74;4.86;;;;;2.88;;;;;;;;;4;;;11369;2845;;;;;8426;;;;;;;;;98;;;0.052629964;0.528;2.19;;;;;;;;;9;"secret";"secret";4656;;;
"1202C";"Réseau de Cransac";"2018";"C";"12083";"Cransac";1.3;0.8;;;;;0.5;;;;;;;;;;;;1081.697024;169.7979298;;;;;911.8990945;;;;;;;;;;;;0.053346428;;;;;;;;;;;17;"secret";"secret";566;;;
"1203C";"Réseau Sarrus";"2018";"C";"12202";"Rodez";3.28;2.32;;;;;0.96;;;;;;;;;;;;2193.5452;852.444;;;;;1341.1012;;;;;;;;;;;;0.099016706;;;;;;;;;;;6;"secret";"secret";;;;1784
"1204C";"Réseau de Cantagrelh";"2018";"C";"12176";"Onet-le-Château";2.28;1.08;;;;;1.2;;;;;;;;;;;;2112.71;827.01;;;;;1285.7;;;;;;;;;;;;0.074870628;;;;;;;;;;;31;2516;2516;;;;
"1206C";"RESEAU DE CAPDENAC-GARE";"2018";"C";"12052";"Capdenac-Gare";2.5;1.7;;;;;0.8;;;;;;;;;;;;536.88;121.5;;;;;415.38;;;;;;;;;;;;0.058386076;;;;;;;;;;;54;474;370;104;;;
"1302C";"Réseau Castellane Bricarde";"2018";"C";"13215";"Marseille 15e Arrondissement";4.6;4.6;;;;;;;;;;;;;;;;;46129.32;46129.32;;;;;;;;;;;;;;;;;0.16017016;28.232;28.232;;;;;;;;;2;13023;;;;;13023
"1303C";"Zac des Canourgues";"2018";"C";"13103";"Salon-de-Provence";33.71;33.7;;0.01;;;;;;;;;;;;;;;37010;36982;;28;;;;;;;;;;;;;;;0.20126292;54.893;54.935;;;;;;;;;27;36319;27602;8717;;;
"1306C";"LUMINY";"2018";"C";"13208";"Marseille 8e Arrondissement";8.6;8.6;;;;;;;;;;;;;;;;;7104.51;7104.51;;;;;;;;;;;;;;;;;0.262327066;;;;;;;;;;;22;"secret";"secret";;;;3084
"1310C";"Zac Paradis - Saint Roch";"2018";"C";"13056";"Martigues";23.4;23.39;;0.01;;;;;;;;;;;;;;;14849;14841;;8;;;;;;;;;;;;;;;0.247789767;73.345;73.385;;;;;;;;;29;13114;10753;2361;;;
"1311C";"Zac Canto Perdrix";"2018";"C";"13056";"Martigues";18.4;14;;;;;4.4;;;;;;;;;;;;20754;9562;;;;;11192;;;;;;;;;;;;0.100419811;37.212;8.768;;;;;;;;;17;18924;11922;;;;7002
"1315C";"Centre urbain - Zac des Pins";"2018";"C";"13117";"Vitrolles";12.2;12.2;;;;;;;;;;;;;;;;;14749;14749;;;;;;;;;;;;;;;;;0.225988508;50.098;5.98;;;;;;;;;18;14749;11799;;;;2950
"1317C";"Aix-en-Provence";"2018";"C";"13001";"Aix-en-Provence";2;1;;;;;1;;;;;;;;;;;;88607.3;17954.46;;;;;49573.84;;;;;;;;;21079;;;0.106495758;;;;;;;;;;;106;78978;55285;23693;;;
"1318C";"La Bayanne";"2018";"C";"13047";"Istres";5.16;4.06;;;;;1.1;;;;;;;;;;;;4856;1846;;;;;3010;;;;;;;;;;;;0.084003859;;;;;;;;;;;11;"secret";"secret";373;;;
"1319C";"Réseau de chaleur Thassalia Marseille";"2018";"C";"13202";"Marseille 2e Arrondissement";7.15;3.5;;;;;;;;;;3.65;;;;;;;4903;67;;;;;;;;;;4836;;;;;;;0.057132147;;;;;;;;;;;7;"secret";"secret";2502;;;
"1320C";"Réseaux  de Coudoux";"2018";"C";"13118";"Coudoux";0.84;0.46;;;;;0.38;;;;;;;;;;;;916.8851;211.9689;;;;;704.9162;;;;;;;;;;;;0.060352256;;;;;;;;;;;5;"secret";"secret";343;;;
"1401C";"Hérouville St Clair";"2018";"C";"14327";"Hérouville-Saint-Clair";73.2;52.2;;;;;;21;;;;;;;;;;;95465.72;4562;;;;;;90903.72;;;;;;;;;;;0.012063275;;;;;;;;;;;99;87603;70082;17521;;;
"1402C";"Zup de Hauteville";"2018";"C";"14366";"Lisieux";29;19;;;;;10;;;;;;;;;;;;46106.92;17081.06;;;;;29025.86;;;;;;;;;;;;0.083719691;21.541;58.146;;;;;;;;;38;38545;20429;18116;;;
"1403C";"Zac de Falaise";"2018";"C";"14258";"Falaise";14.6;8.6;;;;;6;;;;;;;;;;;;23284.11;9592.05;;;;;13692.06;;;;;;;;;;;;0.072028801;39.091;94.891;;;;;;;;;55;17343;9192;8151;;;
"1405C";"Réseau de Bois I";"2018";"C";"14047";"Bayeux";7.2;5;;;;;2.2;;;;;;;;;;;;7081.88;2971.08;;;;;4110.8;;;;;;;;;;;;0.117104343;;;;;;;;;;;10;"secret";"secret";;;;
"1406C";"Réseau bois Vallée des près  (Bayeux 2)";"2018";"C";"14047";"Bayeux";9.8;6.8;;;;;3;;;;;;;;;;;;10861.7;1952.1;;;;;8909.6;;;;;;;;;;;;0.050689124;;;;;;;;;;;16;"secret";"secret";4123;;;
"1408C";"Quartier Nord";"2018";"C";"14118";"Caen";14;14;;;;;;;;;;;;;;;;;14118.14;14118.14;;;;;;;;;;;;;;;;;0.241058459;79.954;79.954;;;;;;;;;13;"secret";"secret";10773;;;
"1409C";"RCU d'Aunay-sur-Odon";"2018";"C";"14027";"Les Monts d'Aunay";2.86;1.86;;;;;1;;;;;;;;;;;;2225;289;;;;;1936;;;;;;;;;;;;0.03498464;;;;;;;;;;;10;"secret";"secret";1869;;;
"1410C";"RCU de Vire";"2018";"C";"14762";"Vire Normandie";6.4;4;;;;;2.4;;;;;;;;;;;;7989;864;;;;;7125;;;;;;;;;;;;0.036632609;;;;;;;;;;;13;"secret";"secret";2001;;;
"1411C";"RCU de Val-ès-Dunes";"2018";"C";"14020";"Argences";3;2;;;;;1;;;;;;;;;;;;3186.85;687.69;;;;;2499.16;;;;;;;;;;;;0.058317386;;;;;;;;;;;6;2686;;2686;;;
"1413C";"Réseau de chaleur Caen Sud";"2018";"C";"14118";"Caen";29;19;;;;;10;;;;;;;;;;;;42418.88;18052.5;;;;;24366.38;;;;;;;;;;;;0.087641193;35.588;83.623;;;;;;;;;86;37346;29130;8216;;;
"1501C";"Hôpital d'Aurillac";"2018";"C";"15014";"Aurillac";11;7;;;;;4;;;;;;;;;;;;16708.29;283.29;;;;;16425;;;;;;;;;;;;0.004177844;;;;;;;;;;;27;15501;13834;1667;;;
"1502C";"Réseau de chaleur bois du Crozatier";"2018";"C";"15188";"Saint-Georges";2.8;;;1.6;;;1.2;;;;;;;;;;;;2202.05;;;13.35;;;2188.7;;;;;;;;;;;;;;;;;;;;;;;26;;;;;;
"1503C";"Réseau de chaleur bois du Volzac";"2018";"C";"15187";"Saint-Flour";3.45;;;2;;;1.45;;;;;;;;;;;;3155.42;;;53.4;;;3102.02;;;;;;;;;;;;0.00617378;;;;;;;;;;;3;2624;;2624;;;
"1504C";"Réseau de Riom-Es-Montagnes";"2018";"C";"15162";"Riom-ès-Montagnes";5.1;;;4;;;1.1;;;;;;;;;;;;5317;;;413;;;4904;;;;;;;;;;;;0.030992218;;;;;;;;;;;22;4112;;;;;4112
"1505C";"Réseau de Vebret";"2018";"C";"15250";"Vebret";2.8;;;;;;2.8;;;;;;;;;;;;109.65;;;;;;109.65;;;;;;;;;;;;;;;;;;;;;;;1;"secret";"secret";;;;128
"1506C";"Réseau de l'OP HLM Du Cantal";"2018";"C";"15012";"Arpajon-sur-Cère";0.88;;;;;;0.88;;;;;;;;;;;;1050.92;;;;;;1050.92;;;;;;;;;;;;;;;;;;;;;;;5;"secret";"secret";;;;
"1507C";"Réseau Chaleur Bois de Murat";"2018";"C";"15138";"Murat";3;;;1.5;;;1.5;;;;;;;;;;;;4223.5488;;;50.0892;;;4173.4596;;;;;;;;;;;;0.003768657;;;;;;;;;;;6;"secret";"secret";2097;;;
"1601C";"Réseau de Saint-Bonnet";"2018";"C";"16303";"Saint-Bonnet";0.3;;;;;;0.3;;;;;;;;;;;;441.7792688;;;;;;441.7792688;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;
