Date,dioxyde d'azote  (µg/m³),Station
2014-12-01,17,Sablons
2015-01-01,20,Sablons
2015-02-01,17,Sablons
2015-03-01,,Sablons
2015-04-01,,Sablons
2015-05-01,8,Sablons
2015-06-01,10,Sablons
2015-07-01,11,Sablons
2015-08-01,10,Sablons
2015-09-01,11,Sablons
2015-10-01,18,Sablons
2015-11-01,22,Sablons
2015-12-01,19,Sablons
2016-01-01,18,Sablons
2016-02-01,17,Sablons
2016-03-01,,Sablons
2016-04-01,,Sablons
2016-05-01,8,Sablons
2016-06-01,10,Sablons
2016-07-01,11,Sablons
2016-08-01,10,Sablons
2016-09-01,12,Sablons
2016-10-01,15,Sablons
2016-11-01,19,Sablons
2016-12-01,31,Sablons
2017-01-01,26,Sablons
2017-02-01,17,Sablons
2014-03-01,20,Bourgoin-Jallieu
2014-04-01,13,Bourgoin-Jallieu
2014-05-01,7,Bourgoin-Jallieu
2014-06-01,10,Bourgoin-Jallieu
2014-07-01,11,Bourgoin-Jallieu
2014-08-01,9,Bourgoin-Jallieu
2014-09-01,16,Bourgoin-Jallieu
2014-10-01,17,Bourgoin-Jallieu
2014-11-01,22,Bourgoin-Jallieu
2014-12-01,21,Bourgoin-Jallieu
2015-01-01,23,Bourgoin-Jallieu
2015-02-01,21,Bourgoin-Jallieu
2015-03-01,23,Bourgoin-Jallieu
2015-04-01,14,Bourgoin-Jallieu
2015-05-01,9,Bourgoin-Jallieu
2015-06-01,11,Bourgoin-Jallieu
2015-07-01,10,Bourgoin-Jallieu
2015-08-01,9,Bourgoin-Jallieu
2015-09-01,12,Bourgoin-Jallieu
2015-10-01,17,Bourgoin-Jallieu
2015-11-01,22,Bourgoin-Jallieu
2015-12-01,24,Bourgoin-Jallieu
2016-01-01,20,Bourgoin-Jallieu
2016-02-01,22,Bourgoin-Jallieu
2016-03-01,23,Bourgoin-Jallieu
2016-04-01,13,Bourgoin-Jallieu
2016-05-01,9,Bourgoin-Jallieu
2016-06-01,8,Bourgoin-Jallieu
2016-07-01,9,Bourgoin-Jallieu
2016-08-01,9,Bourgoin-Jallieu
2016-09-01,13,Bourgoin-Jallieu
2016-10-01,15,Bourgoin-Jallieu
2016-11-01,18,Bourgoin-Jallieu
2016-12-01,30,Bourgoin-Jallieu
2017-01-01,27,Bourgoin-Jallieu
2017-02-01,20,Bourgoin-Jallieu
2014-03-01,13,Plateau de Bonnevaux
2014-04-01,10,Plateau de Bonnevaux
2014-05-01,5,Plateau de Bonnevaux
2014-06-01,,Plateau de Bonnevaux
2014-07-01,,Plateau de Bonnevaux
2014-08-01,,Plateau de Bonnevaux
2014-09-01,6,Plateau de Bonnevaux
2014-10-01,4,Plateau de Bonnevaux
2014-11-01,7,Plateau de Bonnevaux
2014-12-01,7,Plateau de Bonnevaux
2015-01-01,6,Plateau de Bonnevaux
2015-02-01,7,Plateau de Bonnevaux
2015-03-01,11,Plateau de Bonnevaux
2015-04-01,6,Plateau de Bonnevaux
2015-05-01,4,Plateau de Bonnevaux
2015-06-01,6,Plateau de Bonnevaux
2015-07-01,7,Plateau de Bonnevaux
2015-08-01,3,Plateau de Bonnevaux
2015-09-01,3,Plateau de Bonnevaux
2015-10-01,5,Plateau de Bonnevaux
2015-11-01,6,Plateau de Bonnevaux
2015-12-01,6,Plateau de Bonnevaux
2016-01-01,7,Plateau de Bonnevaux
2016-02-01,6,Plateau de Bonnevaux
2016-03-01,8,Plateau de Bonnevaux
2016-04-01,3,Plateau de Bonnevaux
2016-05-01,2,Plateau de Bonnevaux
2016-06-01,2,Plateau de Bonnevaux
2016-07-01,2,Plateau de Bonnevaux
2016-08-01,2,Plateau de Bonnevaux
2016-09-01,3,Plateau de Bonnevaux
2016-10-01,5,Plateau de Bonnevaux
2016-11-01,7,Plateau de Bonnevaux
2016-12-01,16,Plateau de Bonnevaux
2017-01-01,13,Plateau de Bonnevaux
2017-02-01,8,Plateau de Bonnevaux
2014-02-07,,A7 Salaise Ouest
2017-02-06,,A7 Salaise Ouest
2014-02-07,,Creys-Mépieu
2017-02-06,,Creys-Mépieu
