num_poste,num_poste,nom_usuel,lat,lon,alti,aaaammjj,rr,qrr,tn,qtn,htn,qhtn,tx,qtx,htx,qhtx,tm,qtm,tntxm,qtntxm,tampli,qtampli,tnsol,qtnsol,tn50,qtn50,dg,qdg,ffm,qffm,ff2m,qff2m,fxy,qfxy,dxy,qdxy,hxy,qhxy,fxi,qfxi,dxi,qdxi,hxi,qhxi,fxi2,qfxi2,dxi2,qdxi2,hxi2,qhxi2,fxi3s,qfxi3s,dxi3s,qdxi3s,hxi3s,qhxi3s,drr,qdrr
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20050804,0,9,12.5,1,,,28.3,1,,,,,20.4,1,15.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20090710,0,1,13.8,1,,,26.4,1,,,,,20.1,1,12.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20090305,2.3,1,1.6,1,,,4.2,1,,,,,2.9,1,2.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20090105,0.8,1,-7.1,1,,,0.8,1,,,,,-3.2,1,7.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20050706,2.4,9,11.8,1,,,22.4,1,,,,,17.1,1,10.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20090310,8.6,1,-0.9,1,,,8.4,1,,,,,3.8,1,9.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20081224,0,1,-0.3,1,,,6.8,1,,,,,3.3,1,7.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20080102,0,1,-5.4,1,,,3.5,1,,,,,-1,1,8.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20080212,0,1,-2.8,1,,,11.2,1,,,,,4.2,1,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20090324,3.6,1,4.1,1,,,8.9,1,,,,,6.5,1,4.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20090615,0.6,1,19.8,1,,,31.6,1,,,,,25.7,1,11.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20080624,0,1,19.4,1,,,32.2,1,,,,,25.8,1,12.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20060329,0.8,9,7.3,1,,,13.5,1,,,,,10.4,1,6.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20080525,32.2,1,15.1,1,,,20.1,1,,,,,17.6,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20090318,0,1,3,1,,,19.1,1,,,,,11.1,1,16.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20090306,0,1,2.6,1,,,6,1,,,,,4.3,1,3.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20050630,1.4,9,17.8,1,,,30.1,1,,,,,24,1,12.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20080809,0,1,14.5,1,,,27.5,1,,,,,21,1,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20070205,0,9,-2.6,1,,,11.7,1,,,,,4.6,1,14.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20060713,12.6,9,17.4,1,,,33.2,1,,,,,25.3,1,15.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20071024,0,1,4.6,1,,,10.1,1,,,,,7.4,1,5.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20060914,9.3,9,17.8,1,,,25.7,1,,,,,21.8,1,7.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20060817,8.7,9,16.8,1,,,30.3,1,,,,,23.6,1,13.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20060831,0,9,9.2,1,,,24.5,1,,,,,16.9,1,15.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20080421,9.4,1,10.6,1,,,16.8,1,,,,,13.7,1,6.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
