OPERATEUR;FILIERE;Année;Code Commune;Nom Commune;Code EPCI;Nom EPCI;Type EPCI;Code Département;Nom Département;Code Région;Nom Région;CODE CATEGORIE CONSOMMATION;CODE GRAND SECTEUR;CODE SECTEUR NAF2;Nb sites;Conso totale (MWh);Conso moyenne (MWh);Nombre de mailles secretisées;Part thermosensible (%);Conso totale à usages thermosensibles (MWh);Conso totale à usages non thermosensibles (MWh);Thermosensibilité totale (kWh DJU);Conso totale corrigée de l'aléa climatique à usages thermosensibles (MWh);Conso moyenne à usages thermosensibles (MWh);Conso moyenne à usages non thermosensibles (MWh);Thermosensibilité moyenne (kWh DJU);Conso moyenne corrigée de l'aléa climatique à usages thermosensibles (MWh);DJU à TR;DJU à TN;Nombre d'habitants;Taux de logements collectifs;Taux de résidences principales;Superficie des logements <30 m2;Superficie des logements 30 à 40 m2;Superficie des logements 40 à 60 m2;Superficie des logements 60 à 80 m2;Superficie des logements 80 à 100 m2;Superficie des logements >100 m2;Résidences principales avant 1919;Résidences principales de 1919 à 1945;Résidences principales de 1946 à 1970;Résidences principales de 1971 à 1990;Résidences principales de 1991 à 2005;Résidences principales de 2006 à 2015;Résidences principales après 2016;Taux de chauffage électrique
Enedis;Electricité;2014;38528;Vaulnaveys-le-Bas;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;RES;RESIDENTIEL;;534;3752.35;7.02687265917603;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2014;38529;Vaulnaveys-le-Haut;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;TERTIAIRE;;4;270.75;67.6875;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2014;38533;Venon;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;TERTIAIRE;;1;37.96;37.96;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2014;38540;Veurey-Voroize;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;TERTIAIRE;;11;7773.67;706.697272727273;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2014;38545;Vif;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;RES;RESIDENTIEL;;4005;24129.03;6.0247265917603;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2014;38562;Vizille;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;RES;RESIDENTIEL;;4529;24525.05;5.41511371163612;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2014;38059;Brié-et-Angonnes;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;INDUSTRIE;;1;534.84;534.84;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2014;38059;Brié-et-Angonnes;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;TERTIAIRE;;5;954.66;190.932;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2014;38068;Champagnier;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;INDUSTRIE;;3;1345.4;448.466666666667;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2014;38150;Domène;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;TERTIAIRE;;35;4616.72;131.906285714286;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2014;38179;Gières;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;INDUSTRIE;;14;4782.8;341.628571428571;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2014;38187;Le Gua;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;TERTIAIRE;;3;126.5;42.1666666666667;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2014;38229;Meylan;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;RES;RESIDENTIEL;;10439;53798.34;5.15359134016668;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2014;38277;Notre-Dame-de-Commiers;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;INDUSTRIE;;1;59.65;59.65;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2014;38436;Saint-Paul-de-Varces;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;RES;RESIDENTIEL;;929;8078.97;8.69641550053821;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2014;38471;Le Sappey-en-Chartreuse;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;TERTIAIRE;;4;135.37;33.8425;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
